DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Weapon Desc,Status Desc,LOCATION
200204373,01/08/2020 12:00:00 AM,01/08/2020 12:00:00 AM,1645,Rampart,ROBBERY,18,M,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,LAKE
200204374,01/08/2020 12:00:00 AM,01/07/2020 12:00:00 AM,1830,Rampart,ROBBERY,27,M,H,FOLDING KNIFE,Invest Cont,8TH
200204375,01/08/2020 12:00:00 AM,01/08/2020 12:00:00 AM,1400,Rampart,BRANDISH WEAPON,58,M,W,OTHER CUTTING INSTRUMENT,Invest Cont,1300    MICHELTORENA                 ST
200912840,07/28/2020 12:00:00 AM,07/27/2020 12:00:00 AM,1700,Van Nuys,BURGLARY FROM VEHICLE,31,F,H,,Invest Cont,7500 N  SEPULVEDA                    BL
210816791,11/18/2021 12:00:00 AM,01/01/2020 12:00:00 AM,800,West LA,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,2,M,O,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,8800 W  PICO                         BL
200204378,01/08/2020 12:00:00 AM,01/08/2020 12:00:00 AM,2030,Rampart,VANDALISM - MISDEAMEANOR ($399 OR UNDER),54,M,B,,Adult Other,700    BEACON                       AV
200204380,01/08/2020 12:00:00 AM,01/07/2020 12:00:00 AM,1610,Rampart,THEFT PLAIN - PETTY ($950 & UNDER),27,M,O,,Invest Cont,100 S  RENO                         ST
200204384,01/08/2020 12:00:00 AM,01/08/2020 12:00:00 AM,1920,Rampart,BATTERY - SIMPLE ASSAULT,38,M,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,900 N  MADISON                      AV
200204388,01/08/2020 12:00:00 AM,01/08/2020 12:00:00 AM,1900,Rampart,"RAPE, FORCIBLE",19,F,W,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,VERMONT
200204391,01/09/2020 12:00:00 AM,01/01/2020 12:00:00 AM,2300,Rampart,VEHICLE - STOLEN,0,,,,Invest Cont,900 E  EDGEWARE                     RD
200204392,01/09/2020 12:00:00 AM,01/09/2020 12:00:00 AM,100,Rampart,BURGLARY FROM VEHICLE,23,F,W,,Invest Cont,900    SANBORN                      AV
