DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Weapon Desc,Status Desc,LOCATION
10304468,01/08/2020 12:00:00 AM,01/08/2020 12:00:00 AM,2230,Southwest,BATTERY - SIMPLE ASSAULT,36,F,B,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,1100 W  39TH                         PL
190101086,01/02/2020 12:00:00 AM,01/01/2020 12:00:00 AM,330,Central,BATTERY - SIMPLE ASSAULT,25,M,H,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,700 S  HILL                         ST
200110444,04/14/2020 12:00:00 AM,02/13/2020 12:00:00 AM,1200,Central,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,0,X,X,,Adult Arrest,200 E  6TH                          ST
191501505,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,1730,N Hollywood,VANDALISM - MISDEAMEANOR ($399 OR UNDER),76,F,W,,Invest Cont,5400    CORTEEN                      PL
191921269,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,415,Mission,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",31,X,X,,Invest Cont,14400    TITUS                        ST
200100501,01/02/2020 12:00:00 AM,01/01/2020 12:00:00 AM,30,Central,"RAPE, FORCIBLE",25,F,H,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,700 S  BROADWAY
200100502,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,1315,Central,SHOPLIFTING - PETTY THEFT ($950 & UNDER),23,M,H,,Invest Cont,700 S  FIGUEROA                     ST
200100504,01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,40,Central,OTHER MISCELLANEOUS CRIME,0,X,X,,Invest Cont,200 E  6TH                          ST
200100507,01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,200,Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",23,M,B,,Invest Cont,700    BERNARD                      ST
201710201,06/19/2020 12:00:00 AM,05/26/2020 12:00:00 AM,1925,Devonshire,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0,X,X,,Adult Other,11900    BALBOA                       BL
200100509,01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,2200,Central,BURGLARY FROM VEHICLE,29,M,A,ROCK/THROWN OBJECT,Invest Cont,15TH
200100510,01/05/2020 12:00:00 AM,01/05/2020 12:00:00 AM,955,Central,CRIMINAL THREATS - NO WEAPON DISPLAYED,35,M,O,VERBAL THREAT,Invest Cont,800 N  ALAMEDA                      ST
200100514,01/05/2020 12:00:00 AM,01/05/2020 12:00:00 AM,1355,Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",41,M,A,,Adult Arrest,800 S  OLIVE                        ST
200100515,01/07/2020 12:00:00 AM,01/07/2020 12:00:00 AM,1638,Central,ARSON,0,X,X,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,700 W  7TH                          ST
200100520,01/08/2020 12:00:00 AM,01/08/2020 12:00:00 AM,1805,Central,SHOPLIFTING - PETTY THEFT ($950 & UNDER),24,F,H,,Invest Cont,100 S  LOS ANGELES                  ST
211916029,11/26/2021 12:00:00 AM,11/30/2020 12:00:00 AM,730,Mission,INTIMATE PARTNER - SIMPLE ASSAULT,24,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,14200    BERG                         ST
201116159,11/29/2020 12:00:00 AM,11/28/2020 12:00:00 AM,2018,Northeast,INTIMATE PARTNER - SIMPLE ASSAULT,34,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,3200 W  AVENUE 32
200506268,02/22/2020 12:00:00 AM,02/22/2020 12:00:00 AM,1900,Harbor,THEFT PLAIN - PETTY ($950 & UNDER),29,F,W,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,PACIFIC COAST
210916801,11/22/2021 12:00:00 AM,11/19/2020 12:00:00 AM,1200,Van Nuys,THEFT OF IDENTITY,46,M,B,,Invest Cont,14700    FRIAR                        ST
200100535,01/14/2020 12:00:00 AM,01/14/2020 12:00:00 AM,1330,Central,ROBBERY,66,M,B,FOLDING KNIFE,Invest Cont,7TH
200914517,09/10/2020 12:00:00 AM,09/09/2020 12:00:00 AM,1735,Van Nuys,THEFT OF IDENTITY,40,M,O,,Invest Cont,13600    LEADWELL                     ST
200100538,01/14/2020 12:00:00 AM,01/14/2020 12:00:00 AM,1730,Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",31,M,H,,Invest Cont,700 W  7TH                          ST
200100543,01/15/2020 12:00:00 AM,01/15/2020 12:00:00 AM,1445,Central,SHOPLIFTING - PETTY THEFT ($950 & UNDER),27,M,B,,Invest Cont,700 W  7TH                          ST
211014725,11/18/2021 12:00:00 AM,12/28/2020 12:00:00 AM,1,West Valley,THEFT OF IDENTITY,46,F,W,,Invest Cont,5700    ENFIELD                      AV
200100546,01/15/2020 12:00:00 AM,01/15/2020 12:00:00 AM,700,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",62,M,A,UNKNOWN WEAPON/OTHER WEAPON,Adult Other,600    SAN JULIAN                   ST
211015072,11/29/2021 12:00:00 AM,11/01/2020 12:00:00 AM,1200,West Valley,THEFT OF IDENTITY,34,F,B,,Invest Cont,18600    COLLINS                      ST
201106067,02/15/2020 12:00:00 AM,02/15/2020 12:00:00 AM,1830,Northeast,BURGLARY FROM VEHICLE,43,M,A,,Invest Cont,2700 N  VERMONT                      AV
200100552,01/19/2020 12:00:00 AM,01/19/2020 12:00:00 AM,2000,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",71,M,W,UNKNOWN WEAPON/OTHER WEAPON,Adult Arrest,ALAMEDA
200815333,10/15/2020 12:00:00 AM,10/15/2020 12:00:00 AM,2000,West LA,BATTERY - SIMPLE ASSAULT,50,F,W,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,100 S  ACARI                        DR
200100556,01/20/2020 12:00:00 AM,01/20/2020 12:00:00 AM,400,Central,"RAPE, FORCIBLE",19,F,B,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,300 S  FIGUEROA                     ST
200100559,01/23/2020 12:00:00 AM,01/23/2020 12:00:00 AM,600,Central,BURGLARY,51,M,W,,Adult Other,700 N  MAIN                         ST
210816993,11/24/2021 12:00:00 AM,04/28/2020 12:00:00 AM,100,West LA,THEFT OF IDENTITY,27,M,W,,Invest Cont,8500    CASHIO                       ST
201111990,07/29/2020 12:00:00 AM,07/29/2020 12:00:00 AM,2020,Northeast,INTIMATE PARTNER - SIMPLE ASSAULT,33,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,3200 W  AVENUE 32
200117988,09/15/2020 12:00:00 AM,09/03/2020 12:00:00 AM,2000,Central,VEHICLE - STOLEN,0,,,,Invest Cont,500 N  FIGUEROA                     ST
200100568,01/27/2020 12:00:00 AM,01/27/2020 12:00:00 AM,1500,Central,CRIMINAL THREATS - NO WEAPON DISPLAYED,69,M,B,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,6TH
211015073,11/29/2021 12:00:00 AM,11/01/2020 12:00:00 AM,1200,West Valley,THEFT OF IDENTITY,39,M,B,,Invest Cont,18600    COLLINS                      ST
200716724,12/04/2020 12:00:00 AM,12/03/2020 12:00:00 AM,811,Wilshire,SHOPLIFTING - PETTY THEFT ($950 & UNDER),19,M,O,,Invest Cont,8400    BEVERLY                      BL
200914052,08/27/2020 12:00:00 AM,08/27/2020 12:00:00 AM,1255,Van Nuys,BATTERY - SIMPLE ASSAULT,57,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,14100    SYLVAN                       ST
200100572,01/28/2020 12:00:00 AM,01/28/2020 12:00:00 AM,2100,Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0,X,X,,Invest Cont,11TH                         ST
200810920,06/20/2020 12:00:00 AM,06/20/2020 12:00:00 AM,1000,West LA,BATTERY - SIMPLE ASSAULT,78,F,W,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,12100    SANTA MONICA                 BL
200100574,01/30/2020 12:00:00 AM,01/29/2020 12:00:00 AM,1930,Central,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0,M,W,,Invest Cont,700 W  7TH                          ST
200100576,01/30/2020 12:00:00 AM,01/30/2020 12:00:00 AM,55,Central,BURGLARY FROM VEHICLE,24,M,H,,Adult Arrest,18TH                         ST
200100578,01/31/2020 12:00:00 AM,01/30/2020 12:00:00 AM,2040,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",52,M,H,BLUNT INSTRUMENT,Adult Arrest,7TH                          ST
200100583,02/04/2020 12:00:00 AM,02/04/2020 12:00:00 AM,920,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",38,F,H,BOTTLE,Adult Arrest,200    WINSTON                      ST
200100584,02/04/2020 12:00:00 AM,02/04/2020 12:00:00 AM,1645,Central,SHOPLIFTING - PETTY THEFT ($950 & UNDER),55,M,W,,Invest Cont,700 S  FLOWER                       ST
221412410,06/15/2022 12:00:00 AM,11/12/2020 12:00:00 AM,1700,Pacific,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,,,,Invest Cont,13600    MARINA POINT                 DR
200100587,02/06/2020 12:00:00 AM,02/06/2020 12:00:00 AM,1135,Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",66,F,A,,Invest Cont,8TH
200218458,12/11/2020 12:00:00 AM,12/11/2020 12:00:00 AM,420,Rampart,BRANDISH WEAPON,34,M,W,SEMI-AUTOMATIC PISTOL,Adult Other,2500    BEVERLY                      BL
201225288,11/26/2020 12:00:00 AM,11/26/2020 12:00:00 AM,115,77th Street,INTIMATE PARTNER - AGGRAVATED ASSAULT,50,F,B,CLUB/BAT,Adult Arrest,500 W  77TH                         ST
200100596,02/08/2020 12:00:00 AM,02/08/2020 12:00:00 AM,1600,Central,SHOPLIFTING - PETTY THEFT ($950 & UNDER),35,M,B,,Invest Cont,700 W  7TH                          ST
200407318,03/27/2020 12:00:00 AM,03/27/2020 12:00:00 AM,315,Hollenbeck,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",40,M,O,,Invest Cont,2600 N  BROADWAY
200407198,03/22/2020 12:00:00 AM,03/22/2020 12:00:00 AM,430,Hollenbeck,INTIMATE PARTNER - SIMPLE ASSAULT,27,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,300 N  EVERGREEN                    AV
201112187,08/04/2020 12:00:00 AM,07/16/2020 12:00:00 AM,1900,Northeast,"BUNCO, GRAND THEFT",51,F,W,,Invest Cont,2100    HYPERION                     AV
210109294,04/23/2021 12:00:00 AM,12/01/2020 12:00:00 AM,1200,Central,SEX OFFENDER REGISTRANT OUT OF COMPLIANCE,0,M,O,,Adult Arrest,200 E  6TH                          ST
200104020,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,245,Central,"THEFT, PERSON",44,M,B,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,6TH                          ST
200104024,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,325,Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",41,M,A,,Invest Cont,4TH                          ST
200104027,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,30,Central,CRIMINAL THREATS - NO WEAPON DISPLAYED,57,M,O,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,700 W  9TH                          ST
200104033,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,230,Central,INTIMATE PARTNER - SIMPLE ASSAULT,25,M,W,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,400 S  HILL                         ST
200811087,06/24/2020 12:00:00 AM,06/23/2020 12:00:00 AM,2200,West LA,BATTERY - SIMPLE ASSAULT,24,M,W,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,8900    HARGIS                       ST
200104035,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,230,Central,BURGLARY,34,F,B,,Invest Cont,700    YALE                         ST
200104036,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,500,Central,BATTERY WITH SEXUAL CONTACT,18,F,B,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,800 N  ALAMEDA                      ST
200104038,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,1200,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",57,M,B,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,7TH
200104039,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,344,Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER),55,M,H,,Invest Cont,800 W  7TH                          ST
200104041,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,1030,Central,BIKE - STOLEN,23,M,A,,Invest Cont,HILL
200104043,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,1200,Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER),55,M,H,,Invest Cont,ALISO
200321450,12/09/2020 12:00:00 AM,12/09/2020 12:00:00 AM,300,Southwest,INTIMATE PARTNER - AGGRAVATED ASSAULT,54,F,W,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,3000    WELLINGTON                   RD
200104047,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,905,Central,BATTERY POLICE (SIMPLE),0,X,X,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,500 S  HILL                         ST
200104048,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,905,Central,BATTERY POLICE (SIMPLE),0,X,X,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,500 S  HILL                         ST
200104051,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,200,Central,THEFT PLAIN - PETTY ($950 & UNDER),22,F,A,,Invest Cont,800    FRANCISCO                    ST
200104054,01/02/2020 12:00:00 AM,01/01/2020 12:00:00 AM,2330,Central,BATTERY - SIMPLE ASSAULT,28,M,B,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,WALL
200812213,07/23/2020 12:00:00 AM,06/22/2020 12:00:00 AM,2005,West LA,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",42,F,W,,Adult Other,2800 S  BEDFORD                      ST
200104057,01/02/2020 12:00:00 AM,01/01/2020 12:00:00 AM,2045,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",43,M,B,OTHER CUTTING INSTRUMENT,Invest Cont,7TH
200104058,01/02/2020 12:00:00 AM,01/01/2020 12:00:00 AM,1940,Central,BATTERY - SIMPLE ASSAULT,46,M,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,LOS ANGELES                  ST
200104060,01/02/2020 12:00:00 AM,01/01/2020 12:00:00 AM,1800,Central,BATTERY - SIMPLE ASSAULT,56,F,O,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,600 S  SPRING                       ST
200104063,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,2030,Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",55,F,O,,Invest Cont,600 W  9TH                          ST
200104065,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,1830,Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER),55,M,H,,Invest Cont,300 E  ANN                          ST
200104066,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,2315,Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0,X,X,,Invest Cont,9TH                          ST
200104069,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,545,Central,BURGLARY,0,X,X,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,800 N  BROADWAY
200104073,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,345,Central,VEHICLE - STOLEN,0,,,,Invest Cont,400 S  SPRING                       ST
200104075,01/02/2020 12:00:00 AM,01/01/2020 12:00:00 AM,2000,Central,THEFT PLAIN - PETTY ($950 & UNDER),67,M,B,,Invest Cont,400 E  7TH                          ST
200104076,01/01/2020 12:00:00 AM,01/01/2020 12:00:00 AM,300,Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",57,M,B,,Invest Cont,300 W  5TH                          ST
200104077,01/02/2020 12:00:00 AM,01/01/2020 12:00:00 AM,2030,Central,BURGLARY FROM VEHICLE,37,F,H,,Invest Cont,1800 S  MAIN                         ST
200104078,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,820,Central,ROBBERY,0,X,X,OTHER CUTTING INSTRUMENT,Invest Cont,600 W  7TH                          ST
200104082,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,1225,Central,BATTERY - SIMPLE ASSAULT,60,M,O,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,7TH
200104090,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,1305,Central,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0,M,H,,Invest Cont,700 W  7TH                          ST
200104092,01/02/2020 12:00:00 AM,01/01/2020 12:00:00 AM,1200,Central,BURGLARY,51,M,O,,Invest Cont,700    ALPINE                       ST
200918185,12/07/2020 12:00:00 AM,12/07/2020 12:00:00 AM,1203,Van Nuys,VIOLATION OF COURT ORDER,52,F,W,,Adult Arrest,6200    SYLMAR                       AV
200104098,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,1240,Central,ROBBERY,61,M,W,HAND GUN,Adult Other,100 E  5TH                          ST
200104101,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,800,Central,INTIMATE PARTNER - SIMPLE ASSAULT,38,M,B,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,100 S  FIGUEROA                     ST
200104118,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,1600,Central,BATTERY - SIMPLE ASSAULT,36,F,B,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,800 E  4TH                          PL
200104120,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,1450,Central,BURGLARY,59,M,H,,Invest Cont,1200 E  7TH                          ST
200104126,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,1215,Central,SHOPLIFTING - PETTY THEFT ($950 & UNDER),32,M,H,,Invest Cont,700 S  FLOWER                       ST
200104127,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,1130,Central,TRESPASSING,44,F,B,,Invest Cont,300 E  3RD                          ST
200104129,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,320,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",60,F,W,PHYSICAL PRESENCE,Invest Cont,1ST
210121427,10/26/2021 12:00:00 AM,10/18/2020 12:00:00 AM,528,Central,BATTERY WITH SEXUAL CONTACT,24,F,W,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,900 W  TEMPLE                       ST
200104132,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,1915,Central,BURGLARY FROM VEHICLE,31,M,W,,Invest Cont,1200 S  GRAND                        AV
200104135,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,2000,Central,THEFT PLAIN - PETTY ($950 & UNDER),30,M,W,,Invest Cont,300 S  GRAND                        AV
200104136,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,2000,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",50,M,B,VEHICLE,Adult Arrest,600 S  CENTRAL                      AV
201815332,08/10/2020 12:00:00 AM,08/10/2020 12:00:00 AM,125,Southeast,INTIMATE PARTNER - SIMPLE ASSAULT,50,F,B,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,10300 S  BROADWAY
200104138,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,1740,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",40,M,H,SCISSORS,Invest Cont,600 N  BROADWAY
200104139,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,2210,Central,TRESPASSING,34,M,O,,Invest Cont,800 W  7TH                          ST
200104140,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,2145,Central,INTIMATE PARTNER - SIMPLE ASSAULT,34,F,B,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,1300 S  HOPE                         ST
200104141,01/02/2020 12:00:00 AM,01/02/2020 12:00:00 AM,2120,Central,BATTERY - SIMPLE ASSAULT,45,M,O,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,700 S  FLOWER                       ST
200104150,01/03/2020 12:00:00 AM,01/02/2020 12:00:00 AM,2200,Central,BATTERY - SIMPLE ASSAULT,62,M,B,STICK,Invest Cont,7TH                          ST
200516527,11/12/2020 12:00:00 AM,11/12/2020 12:00:00 AM,430,Harbor,VEHICLE - STOLEN,0,,,,Invest Cont,23400    PRESIDENT                    AV
200609101,04/15/2020 12:00:00 AM,04/12/2020 12:00:00 AM,1300,Hollywood,VEHICLE - STOLEN,0,,,,Adult Other,5700    HOLLYWOOD                    BL
200104187,01/03/2020 12:00:00 AM,01/01/2020 12:00:00 AM,1845,Central,SHOPLIFTING - PETTY THEFT ($950 & UNDER),20,F,H,,Invest Cont,700 W  7TH                          ST
211422362,12/02/2021 12:00:00 AM,12/02/2020 12:00:00 AM,1040,Pacific,THEFT OF IDENTITY,31,F,B,,Invest Cont,13100    LAKE                         ST
200104192,01/03/2020 12:00:00 AM,01/03/2020 12:00:00 AM,930,Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER),0,X,X,,Invest Cont,100 W  1ST                          ST
211304982,01/23/2021 12:00:00 AM,07/24/2020 12:00:00 AM,100,Newton,"RAPE, FORCIBLE",15,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,300 W  61ST                         ST
200104201,01/03/2020 12:00:00 AM,01/01/2020 12:00:00 AM,130,Central,BURGLARY FROM VEHICLE,51,M,H,,Invest Cont,3RD
200104204,01/03/2020 12:00:00 AM,01/02/2020 12:00:00 AM,1115,Central,THEFT PLAIN - PETTY ($950 & UNDER),23,M,B,,Invest Cont,6TH
200104205,01/03/2020 12:00:00 AM,01/03/2020 12:00:00 AM,1315,Central,THEFT PLAIN - PETTY ($950 & UNDER),29,M,B,,Invest Cont,1ST
200104208,01/03/2020 12:00:00 AM,01/03/2020 12:00:00 AM,1015,Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER),58,M,B,,Adult Other,1600 S  HOPE                         ST
200104209,01/03/2020 12:00:00 AM,01/03/2020 12:00:00 AM,1830,Central,BATTERY - SIMPLE ASSAULT,24,M,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,600 W  7TH                          ST
200104221,01/03/2020 12:00:00 AM,01/03/2020 12:00:00 AM,1200,Central,BRANDISH WEAPON,51,F,B,MACHETE,Invest Cont,600 S  SAN PEDRO                    ST
200104222,01/03/2020 12:00:00 AM,01/03/2020 12:00:00 AM,1550,Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",41,F,B,,Adult Arrest,100 W  2ND                          ST
200104223,01/03/2020 12:00:00 AM,01/03/2020 12:00:00 AM,1839,Central,VANDALISM - MISDEAMEANOR ($399 OR UNDER),32,M,W,,Invest Cont,100 E  5TH                          ST
200104224,01/03/2020 12:00:00 AM,01/03/2020 12:00:00 AM,1800,Central,SHOPLIFTING - PETTY THEFT ($950 & UNDER),23,M,H,,Invest Cont,700 W  7TH                          ST
200104227,01/04/2020 12:00:00 AM,01/03/2020 12:00:00 AM,1800,Central,SHOPLIFTING - PETTY THEFT ($950 & UNDER),35,M,W,,Invest Cont,700 W  7TH                          ST
200104228,01/04/2020 12:00:00 AM,01/03/2020 12:00:00 AM,1850,Central,ROBBERY,28,M,H,HAND GUN,Invest Cont,4TH
200104230,01/04/2020 12:00:00 AM,01/03/2020 12:00:00 AM,2100,Central,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,,,,Invest Cont,700 S  GRAND                        AV
200104231,01/03/2020 12:00:00 AM,01/03/2020 12:00:00 AM,2220,Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",58,M,H,FOLDING KNIFE,Invest Cont,5TH
200104233,01/03/2020 12:00:00 AM,01/03/2020 12:00:00 AM,1645,Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",57,M,W,,Invest Cont,100 E  5TH                          ST
200104234,01/04/2020 12:00:00 AM,01/03/2020 12:00:00 AM,2100,Central,THEFT PLAIN - PETTY ($950 & UNDER),27,F,H,,Invest Cont,100 W  2ND                          ST
200104235,01/04/2020 12:00:00 AM,01/03/2020 12:00:00 AM,2200,Central,BURGLARY FROM VEHICLE,30,F,H,,Invest Cont,PALMETTO
200104236,01/03/2020 12:00:00 AM,01/03/2020 12:00:00 AM,1630,Central,BURGLARY FROM VEHICLE,30,M,B,,Invest Cont,800    JAMES M WOOD                 BL
200104237,01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,500,Central,BURGLARY FROM VEHICLE,31,M,B,,Invest Cont,GRAND
200104238,01/03/2020 12:00:00 AM,01/03/2020 12:00:00 AM,1840,Central,BURGLARY FROM VEHICLE,0,X,X,,Invest Cont,GRAND
200409682,06/10/2020 12:00:00 AM,06/10/2020 12:00:00 AM,1900,Hollenbeck,ROBBERY,24,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,200 N  AVENUE 25
200706211,02/17/2020 12:00:00 AM,02/16/2020 12:00:00 AM,2350,Wilshire,BATTERY - SIMPLE ASSAULT,29,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,6000 W  6TH                          ST
210704711,12/24/2020 12:00:00 AM,12/24/2020 12:00:00 AM,1310,Wilshire,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),47,F,A,,Invest Cont,6000    COMEY                        AV
200104244,01/04/2020 12:00:00 AM,01/04/2020 12:00:00 AM,40,Central,BATTERY - SIMPLE ASSAULT,48,F,B,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,500    SAN JULIAN                   ST
200104256,01/04/2020 12:00:00 AM,01/03/2020 12:00:00 AM,1600,Central,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,,,,Invest Cont,700 S  GRAND                        AV
200815521,10/20/2020 12:00:00 AM,09/18/2020 12:00:00 AM,1400,West LA,THEFT OF IDENTITY,32,F,O,,Invest Cont,1600    BARRY                        AV
200317571,09/19/2020 12:00:00 AM,09/19/2020 12:00:00 AM,1040,Southwest,ROBBERY,23,M,B,HAND GUN,Invest Cont,OBAMA                        BL
200306227,02/07/2020 12:00:00 AM,02/06/2020 12:00:00 AM,1800,Southwest,VEHICLE - STOLEN,0,,,,Invest Cont,43RD                         ST
